INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video,Home_Controller,AirConditioner,DoorLock,Lamp,TV,Vacuum,Washer
263,2020-06-16,4:38:50,16730,1,0,0,0,0,0,0,1,0,0,1,0,0,0
264,2020-06-16,4:38:51,16731,1,0,0,0,0,0,0,1,0,0,1,0,0,0
265,2020-06-16,4:38:52,16732,1,0,0,0,0,0,0,1,0,0,1,0,0,0
266,2020-06-16,4:38:53,16733,1,0,0,0,0,0,0,1,0,0,1,0,0,0
267,2020-06-16,4:38:54,16734,1,0,0,0,0,0,0,1,0,0,1,0,0,0
268,2020-06-16,4:38:55,16735,1,0,0,0,0,0,0,1,0,0,1,1,0,0
269,2020-06-16,4:38:56,16736,1,0,0,0,0,0,0,1,0,0,1,1,0,0
270,2020-06-16,4:38:57,16737,1,0,0,0,0,0,0,1,0,0,1,1,0,0
271,2020-06-16,4:38:58,16738,1,0,0,0,0,0,0,1,0,0,1,1,0,0
272,2020-06-16,4:38:59,16739,1,0,0,0,0,0,0,1,0,0,1,1,0,0
273,2020-06-16,4:39:00,16740,1,0,0,0,0,0,0,1,0,0,0,0,0,0
274,2020-06-16,4:39:01,16741,1,0,0,0,0,0,0,1,0,0,0,0,0,0
275,2020-06-16,4:39:02,16742,1,0,0,0,0,0,0,1,0,0,0,0,0,0
276,2020-06-16,4:39:03,16743,1,0,0,0,0,0,0,1,0,0,0,0,0,0
277,2020-06-16,4:39:04,16744,1,0,0,0,0,0,0,1,0,0,0,0,0,0
278,2020-06-16,4:39:05,16745,1,0,0,0,0,0,0,1,0,0,0,0,0,0
279,2020-06-16,4:39:06,16746,1,0,0,0,0,0,0,1,0,0,0,0,0,0
280,2020-06-16,4:39:07,16747,1,0,0,0,0,0,0,1,0,0,0,0,0,0
281,2020-06-16,4:39:08,16748,1,0,0,0,0,0,0,1,0,0,0,0,0,0
282,2020-06-16,4:39:09,16749,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0
283,2020-06-16,4:39:10,16750,1,0,0,0,0,0,0,1,0,0,0,0,0,0
284,2020-06-16,4:39:11,16751,1,1,0,0,0,0,0,1,0,0,0,0,0,0
285,2020-06-16,4:39:12,16752,1,1,0,0,0,0,0,1,0,0,0,0,0,0
286,2020-06-16,4:39:13,16753,1,1,0,0,0,0,0,1,0,0,0,0,0,0
287,2020-06-16,4:39:14,16754,1,1,0,0,0,0,0,1,0,0,0,0,0,0
288,2020-06-16,4:39:15,16755,1,1,0,0,0,0,0,1,0,0,1,0,0,0
289,2020-06-16,4:39:16,16756,1,1,0,0,0,0,0,1,0,0,1,0,0,0
290,2020-06-16,4:39:17,16757,1,0,0,0,0,0,0,1,0,0,1,0,0,0
